Source	Size
../jspm_packages/npm/process@0.11.2/browser.js	1060
../jspm_packages/npm/process@0.11.2.js	204
../jspm_packages/github/jspm/nodelibs-process@0.1.2/index.js	238
../jspm_packages/github/jspm/nodelibs-process@0.1.2.js	248
../jspm_packages/npm/jquery@2.1.4/dist/jquery.js	84460
../jspm_packages/npm/jquery@2.1.4.js	360
../jspm_packages/npm/d3@3.5.6/d3.js	151340
../jspm_packages/npm/d3@3.5.6.js	303
../jspm_packages/github/angular/bower-angular@1.4.5/angular.js	155232
../jspm_packages/github/angular/bower-angular@1.4.5.js	252
../jspm_packages/github/angular/bower-angular-route@1.4.0/angular-route.js	4604
../jspm_packages/github/angular/bower-angular-route@1.4.0.js	282
../jspm_packages/github/angular/bower-angular-animate@1.4.1/angular-animate.js	23959
../jspm_packages/github/angular/bower-angular-animate@1.4.1.js	292
../jspm_packages/github/angular/bower-angular-cookies@1.4.1/angular-cookies.js	1616
../jspm_packages/github/angular/bower-angular-cookies@1.4.1.js	292
../jspm_packages/github/angular-ui/bootstrap-bower@0.13.0/ui-bootstrap-tpls.js	75363
../jspm_packages/github/angular-ui/bootstrap-bower@0.13.0.js	290
../jspm_packages/npm/marked@0.3.5/lib/marked.js	16130
../jspm_packages/npm/marked@0.3.5.js	204
../jspm_packages/npm/angular-marked@1.0.0/lib/angular-marked.js	1359
../jspm_packages/npm/angular-marked@1.0.0.js	244
../jspm_packages/github/angular-ui/ui-codemirror@0.3.0/ui-codemirror.js	1807
../jspm_packages/github/angular-ui/ui-codemirror@0.3.0.js	273
../jspm_packages/npm/svgsaver@0.3.3/lib/svgsaver.js	6174
../jspm_packages/npm/svgsaver@0.3.3.js	214
../jspm_packages/npm/angular-downloadsvg-directive@0.1.2/lib/angular-downloadsvg-directive.js	1013
../jspm_packages/npm/angular-downloadsvg-directive@0.1.2.js	319
../jspm_packages/npm/babyparse@0.4.3/babyparse.js	7980
../jspm_packages/npm/babyparse@0.4.3.js	211
../jspm_packages/npm/URIjs@1.15.1/src/punycode.js	2787
../jspm_packages/npm/URIjs@1.15.1/src/IPv6.js	1102
../jspm_packages/npm/URIjs@1.15.1/src/SecondLevelDomains.js	8354
../jspm_packages/npm/URIjs@1.15.1/src/URI.js	27724
../jspm_packages/npm/URIjs@1.15.1.js	198
../jspm_packages/npm/mime-lookup@0.0.2/mime-lookup.js	1335
../jspm_packages/npm/mime-lookup@0.0.2.js	332
../common/services/datapackage/mime.js	661
../common/services/datapackage/dataservice.js	2219
../common/services/datapackage/index.js	823
../jspm_packages/github/codemirror/codemirror@5.3.0/lib/codemirror.js	152140
../jspm_packages/github/eligrey/FileSaver.js@master/FileSaver.js	3274
../jspm_packages/github/eligrey/FileSaver.js@master.js	124
editor/editor.html	3513
editor/svg-download-dropdown.js	1080
editor/editor.js	3295
../jspm_packages/npm/babel-runtime@5.8.25/helpers/class-call-check.js	598
examples/index.js	467
../jspm_packages/npm/model-js@0.2.4/dist/model.js	1124
../jspm_packages/npm/model-js@0.2.4.js	93
../jspm_packages/npm/lodash@3.10.1/index.js	51176
../jspm_packages/npm/lodash@3.10.1.js	197
../jspm_packages/npm/chiasm@0.2.0/index.js	3685
../jspm_packages/npm/chiasm@0.2.0.js	194
../jspm_packages/npm/chiasm-component@0.2.1/index.js	643
../jspm_packages/npm/chiasm-component@0.2.1.js	224
../jspm_packages/npm/chiasm-layout@0.2.2/src/computeLayout.js	1188
../jspm_packages/npm/chiasm-layout@0.2.2/src/layout.js	1950
../jspm_packages/npm/chiasm-layout@0.2.2/index.js	350
../jspm_packages/npm/chiasm-layout@0.2.2.js	215
../jspm_packages/npm/chiasm-links@0.2.1/index.js	926
../jspm_packages/npm/chiasm-links@0.2.1.js	345
examples/chiasm/barChart.js	2187
examples/chiasm/chiasm.js	716
../jspm_packages/npm/backbone-events-standalone@0.2.7/backbone-events-standalone.js	3333
../jspm_packages/npm/backbone-events-standalone@0.2.7/index.js	302
../jspm_packages/npm/backbone-events-standalone@0.2.7.js	254
../jspm_packages/npm/biojs-events@0.0.4/index.js	423
../jspm_packages/npm/biojs-events@0.0.4.js	212
../jspm_packages/npm/expression-bar@0.1.4/lib/expressionbar.js	3595
../jspm_packages/npm/expression-bar@0.1.4/index.js	248
../jspm_packages/npm/expression-bar@0.1.4.js	372
examples/biojs/biojs.js	506
examples/bars/bars-chart.js	1654
examples/bars/bars.js	447
examples/trains/trains-chart.js	2837
examples/trains/trains.js	808
examples/polymer/d3-bar-chart.js	1574
examples/polymer/bar-chart-tag.js	713
examples/polymer/barChart-controller.js	206
../jspm_packages/npm/screenfull@2.0.0/dist/screenfull.js	1762
../jspm_packages/npm/screenfull@2.0.0.js	226
../jspm_packages/github/martine/webtreemap@gh-pages/webtreemap.js	2221
../jspm_packages/github/martine/webtreemap@gh-pages.js	909
examples/treemap/treemap.js	1597
examples/routes.js	1969
index/index.js	412
about/about.html	2128
error/error.html	258
index/index.html	1027
routes.js	542
../common/partials/footer.html	505
../common/partials/intro.html	1492
../jspm_packages/github/chieffancypants/angular-loading-bar@0.8.0/build/loading-bar.js	3667
../jspm_packages/github/chieffancypants/angular-loading-bar@0.8.0.js	974
app.js	1619
boot.js	1724
