Source	Size
jspm_packages/github/webcomponents/webcomponentsjs@0.7.22/webcomponents-lite.js	40174
jspm_packages/npm/core-js@1.2.6/modules/es5.js	4635
jspm_packages/npm/core-js@1.2.6/modules/$.keyof.js	267
jspm_packages/npm/core-js@1.2.6/modules/$.enum-keys.js	272
jspm_packages/npm/core-js@1.2.6/modules/es6.symbol.js	3280
jspm_packages/npm/core-js@1.2.6/modules/$.object-assign.js	644
jspm_packages/npm/core-js@1.2.6/modules/es6.object.assign.js	219
jspm_packages/npm/core-js@1.2.6/modules/es6.object.is.js	201
jspm_packages/npm/core-js@1.2.6/modules/es6.object.set-prototype-of.js	229
jspm_packages/npm/core-js@1.2.6/modules/es6.object.to-string.js	341
jspm_packages/npm/core-js@1.2.6/modules/es6.object.freeze.js	255
jspm_packages/npm/core-js@1.2.6/modules/es6.object.seal.js	251
jspm_packages/npm/core-js@1.2.6/modules/es6.object.prevent-extensions.js	278
jspm_packages/npm/core-js@1.2.6/modules/es6.object.is-frozen.js	261
jspm_packages/npm/core-js@1.2.6/modules/es6.object.is-sealed.js	261
jspm_packages/npm/core-js@1.2.6/modules/es6.object.is-extensible.js	271
jspm_packages/npm/core-js@1.2.6/modules/es6.object.get-own-property-descriptor.js	293
jspm_packages/npm/core-js@1.2.6/modules/es6.object.get-prototype-of.js	266
jspm_packages/npm/core-js@1.2.6/modules/es6.object.keys.js	244
jspm_packages/npm/core-js@1.2.6/modules/$.object-sap.js	315
jspm_packages/npm/core-js@1.2.6/modules/$.get-names.js	418
jspm_packages/npm/core-js@1.2.6/modules/es6.object.get-own-property-names.js	246
jspm_packages/npm/core-js@1.2.6/modules/es6.function.name.js	430
jspm_packages/npm/core-js@1.2.6/modules/es6.function.has-instance.js	448
jspm_packages/npm/core-js@1.2.6/modules/$.to-primitive.js	452
jspm_packages/npm/core-js@1.2.6/modules/es6.number.constructor.js	1410
jspm_packages/npm/core-js@1.2.6/modules/es6.number.epsilon.js	190
jspm_packages/npm/core-js@1.2.6/modules/es6.number.is-finite.js	261
jspm_packages/npm/core-js@1.2.6/modules/es6.number.is-integer.js	216
jspm_packages/npm/core-js@1.2.6/modules/es6.number.is-nan.js	196
jspm_packages/npm/core-js@1.2.6/modules/$.is-integer.js	219
jspm_packages/npm/core-js@1.2.6/modules/es6.number.is-safe-integer.js	287
jspm_packages/npm/core-js@1.2.6/modules/es6.number.max-safe-integer.js	209
jspm_packages/npm/core-js@1.2.6/modules/es6.number.min-safe-integer.js	210
jspm_packages/npm/core-js@1.2.6/modules/es6.number.parse-float.js	192
jspm_packages/npm/core-js@1.2.6/modules/es6.number.parse-int.js	186
jspm_packages/npm/core-js@1.2.6/modules/es6.math.acosh.js	371
jspm_packages/npm/core-js@1.2.6/modules/es6.math.asinh.js	252
jspm_packages/npm/core-js@1.2.6/modules/es6.math.atanh.js	222
jspm_packages/npm/core-js@1.2.6/modules/es6.math.cbrt.js	255
jspm_packages/npm/core-js@1.2.6/modules/es6.math.clz32.js	238
jspm_packages/npm/core-js@1.2.6/modules/es6.math.cosh.js	212
jspm_packages/npm/core-js@1.2.6/modules/es6.math.expm1.js	203
jspm_packages/npm/core-js@1.2.6/modules/es6.math.fround.js	413
jspm_packages/npm/core-js@1.2.6/modules/es6.math.hypot.js	340
jspm_packages/npm/core-js@1.2.6/modules/es6.math.imul.js	358
jspm_packages/npm/core-js@1.2.6/modules/es6.math.log10.js	208
jspm_packages/npm/core-js@1.2.6/modules/$.math-log1p.js	192
jspm_packages/npm/core-js@1.2.6/modules/es6.math.log1p.js	203
jspm_packages/npm/core-js@1.2.6/modules/es6.math.log2.js	205
jspm_packages/npm/core-js@1.2.6/modules/$.math-sign.js	175
jspm_packages/npm/core-js@1.2.6/modules/es6.math.sign.js	199
jspm_packages/npm/core-js@1.2.6/modules/es6.math.sinh.js	371
jspm_packages/npm/core-js@1.2.6/modules/$.math-expm1.js	200
jspm_packages/npm/core-js@1.2.6/modules/es6.math.tanh.js	294
jspm_packages/npm/core-js@1.2.6/modules/es6.math.trunc.js	215
jspm_packages/npm/core-js@1.2.6/modules/es6.string.from-code-point.js	509
jspm_packages/npm/core-js@1.2.6/modules/es6.string.raw.js	392
jspm_packages/npm/core-js@1.2.6/modules/es6.string.trim.js	219
jspm_packages/npm/core-js@1.2.6/modules/es6.string.iterator.js	396
jspm_packages/npm/core-js@1.2.6/modules/es6.string.code-point-at.js	268
jspm_packages/npm/core-js@1.2.6/modules/es6.string.ends-with.js	524
jspm_packages/npm/core-js@1.2.6/modules/es6.string.includes.js	387
jspm_packages/npm/core-js@1.2.6/modules/es6.string.repeat.js	215
jspm_packages/npm/core-js@1.2.6/modules/$.string-context.js	294
jspm_packages/npm/core-js@1.2.6/modules/$.fails-is-regexp.js	260
jspm_packages/npm/core-js@1.2.6/modules/es6.string.starts-with.js	506
jspm_packages/npm/core-js@1.2.6/modules/es6.array.from.js	856
jspm_packages/npm/core-js@1.2.6/modules/es6.array.of.js	400
jspm_packages/npm/core-js@1.2.6/modules/es6.array.species.js	160
jspm_packages/npm/core-js@1.2.6/modules/$.array-copy-within.js	500
jspm_packages/npm/core-js@1.2.6/modules/es6.array.copy-within.js	297
jspm_packages/npm/core-js@1.2.6/modules/$.array-fill.js	406
jspm_packages/npm/core-js@1.2.6/modules/es6.array.fill.js	264
jspm_packages/npm/core-js@1.2.6/modules/es6.array.find.js	410
jspm_packages/npm/core-js@1.2.6/modules/es6.array.find-index.js	426
jspm_packages/npm/core-js@1.2.6/modules/$.is-regexp.js	287
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.constructor.js	899
jspm_packages/npm/core-js@1.2.6/modules/$.flags.js	309
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.flags.js	274
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.match.js	303
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.replace.js	307
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.search.js	305
jspm_packages/npm/core-js@1.2.6/modules/$.fix-re-wks.js	523
jspm_packages/npm/core-js@1.2.6/modules/es6.regexp.split.js	303
jspm_packages/npm/core-js@1.2.6/modules/$.same-value.js	185
jspm_packages/npm/core-js@1.2.6/modules/$.species-constructor.js	328
jspm_packages/npm/core-js@1.2.6/modules/$.microtask.js	797
jspm_packages/npm/core-js@1.2.6/modules/es6.promise.js	3979
jspm_packages/npm/core-js@1.2.6/modules/es6.map.js	415
jspm_packages/npm/core-js@1.2.6/modules/$.set-species.js	365
jspm_packages/npm/core-js@1.2.6/modules/$.collection-strong.js	2052
jspm_packages/npm/core-js@1.2.6/modules/es6.set.js	356
